pair,carry_pa,net_carry_pa,vol,carry_vol,synthetic_iv,carry_synthetic_iv,spx_beta,spx_beta_se,oil_beta,us2y_beta_per_bp,r2,spx_beta_63,spx_beta_252,carry_variance,unconstrained,factor,factor_macro,factor_dm
HUF/JPY,0.0416523771512215,0.035252377151221495,0.11528445951618019,0.36130088414367406,0.1161156187905649,0.3587146809797306,0.2732144934604691,0.10167494094488715,-0.014047040325076457,-0.0002904349192978106,0.24276353969767384,0.11500811110832701,0.30665396267304507,0.0,0.0,0.0,0.0,0.0
NOK/JPY,0.03286328232855191,0.030063282328551908,0.09454301036288158,0.3476013954116096,0.10957199150539017,0.2999241126956725,0.06644244329989253,0.0828578165030031,0.06364031023452893,1.9386831349582634e-06,0.16693942200239698,-0.05402434930504103,0.18670714786983508,623332.717743267,293365.5077510364,293365.50775102136,293365.50775102136,549385.4564488746
GBP/SEK,0.020205720436326437,0.017405720436326436,0.058450689895548705,0.345688313900726,0.06622420818037916,0.3051107894154175,-0.1770274280135394,0.03650428336752691,0.0011924364529884881,9.876142269249488e-05,0.2773071708215944,-0.17159060021345673,-0.11859917467692606,0.0,0.0,0.0,0.0,0.0
GBP/CAD,0.016119046973955727,0.013319046973955726,0.04729709789547281,0.3408041442538193,0.05584058643165236,0.2886618498121449,0.07618128720414602,0.026596437880851614,-0.013839797805208606,-6.672615534383808e-05,0.1494497981833306,0.04568675757879778,0.06390345548350014,0.0,0.0,0.0,0.0,500000.0000000071
USD/CAD,0.017228135027093472,0.014428135027093471,0.0505990419678063,0.34048342334336873,0.046375,0.37149617309096433,-0.059249031339610854,0.028577982002151153,-0.011408588948269462,0.0001725163200578042,0.16264386610978143,-0.06431445198089478,-0.0759700527558352,875719.5611139603,2492319.0140179293,2492319.014017925,2492319.014017925,1102465.1503460333
NOK/SEK,0.025536424420644778,0.022736424420644778,0.07595610493328438,0.3361997622584064,0.08754179048812247,0.29170553033307584,-0.11150309270683949,0.05102877485731318,0.06124094265627663,5.950299550681881e-05,0.4471806885543378,-0.13671400487113305,-0.02087438817105214,0.0,0.0,0.0,0.0,0.0
NOK/CAD,0.021449750958274068,0.018649750958274067,0.06640575251041927,0.3230104342979704,0.07539109214585836,0.28451306842425705,0.1417056225108459,0.04699900818787224,0.04620870839807952,-0.00010598458252950027,0.15787688409895384,0.08056335292112153,0.16162824198937406,186940.62612146526,0.0,0.0,0.0,1348149.3932050772
GBP/JPY,0.027532578344233567,0.024732578344233567,0.08553902373617688,0.32187155220698715,0.08825637685848026,0.3119613485650137,0.0009181079931924954,0.0660920244750641,0.003591804031240754,4.119711032062132e-05,0.0044305830017198344,-0.08890094464736478,0.08898236136396101,0.0,0.0,0.0,0.0,0.0
USD/EUR,0.014206605731214177,0.011406605731214176,0.04704044559643465,0.302008315420612,0.05345,0.26579243650541023,-0.1343194850729278,0.03494733776188262,-0.008358594220518687,0.00026088917052263794,0.33729577956175927,-0.10023949434829725,-0.09443548503196139,0.0,0.0,0.0,0.0,0.0
USD/JPY,0.028641666397371313,0.025841666397371312,0.09943115125353204,0.2880552627248585,0.0935,0.30632798285958623,-0.13451221055056434,0.0587795388993506,0.006023012888179889,0.0002804395857222419,0.20955132913769503,-0.19890215420705726,-0.05089114687537433,0.0,0.0,0.0,0.0,0.0
HUF/EUR,0.027217316485064362,0.020817316485064363,0.09624496305957173,0.2827921131645918,0.08894164172607796,0.30601320098057244,0.273407218938106,0.06447175348302163,-0.028428647433775007,-0.00030998533449744237,0.4342101173254088,0.21367077096708723,0.26310962451645775,0.0,0.0,0.0,0.0,0.0
NOK/EUR,0.018428221662394773,0.015628221662394772,0.06640498535757774,0.2775126229327879,0.07669946116039089,0.24026533411829845,0.06663516877752901,0.05421148497564046,0.049258703125830326,-1.7611732064645724e-05,0.18880919634117221,0.04463831055371906,0.1431628097132479,0.0,0.0,0.0,0.0,0.0
HUF/CAD,0.030238845780943657,0.023838845780943658,0.11358690537380656,0.2662177095276056,0.10245913906057597,0.2951307814822241,0.3484776726714227,0.06981989381726048,-0.03147864216152579,-0.0003983581849622553,0.4510213885282174,0.24959581333448955,0.2815750567925838,0.0,0.0,0.0,0.0,0.0
USD/SEK,0.021314808489464182,0.01851480848946418,0.0860564667860851,0.24768398338322994,0.08529999999999999,0.2498805215646446,-0.3124577465572962,0.0518510151743347,0.003623645309927624,0.00033800389809413023,0.42721438778096577,-0.2815918097731493,-0.2584726829162614,0.0,0.0,0.0,0.0,0.0
NZD/SEK,0.010485646369957656,0.007685646369957656,0.055824452829742244,0.18783249702308047,0.07236084138355783,0.14490774525930614,-0.022129876292660527,0.041526394216647264,-0.0028289379913232077,1.360279395370631e-05,0.003241015745533038,0.0029058542347522084,0.048908743650681735,0.0,0.0,0.0,0.0,0.0
NZD/JPY,0.017812504277864787,0.015012504277864786,0.09733535752249457,0.1830013751554593,0.09702260972121406,0.18359127144742296,0.15581565971407135,0.07315243279535388,-0.0004295704130709039,-4.3961518418178525e-05,0.07753471355297459,0.08559550980084422,0.2564902796915689,0.0,0.0,0.0,0.0,0.0
NZD/CAD,0.006398972907586946,0.0035989729075869455,0.0712613773464017,0.08979580729237839,0.07434969974360603,0.08606588768554171,0.23107883892502473,0.03997009498972731,-0.017861172249520264,-0.00015188478408265094,0.3524746225900113,0.22018321202700677,0.231411373811108,0.0,0.0,0.0,0.0,0.0
